,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,MFCC_41,MFCC_42,MFCC_43,MFCC_44,MFCC_45,MFCC_46,MFCC_47,MFCC_48,MFCC_49,MFCC_50,Label
42,-448.31393,128.74754,2.4217896,34.32964,-9.561969,16.968664,-8.3835535,8.38411,-3.2600718,6.4057436,-1.0984193,4.777494,0.594463,0.5602905,-2.813191,-1.2752548,0.16300167,-4.3113427,0.74846673,-2.2044132,2.3457522,-3.0693228,-1.0048155,-0.122358724,0.9975207,1.5322415,1.734891,2.3831902,1.8366599,2.5945315,1.5259986,3.1925032,2.7442598,1.192982,6.204135,7.2409024,2.662942,-1.6525416,-2.0961838,0.98881596,-1.764748,-1.6451061,1.4697917,-0.48539782,-1.5064956,-0.5306514,1.7507781,-0.1819535,0.05928895,-1.794131,sad
43,-431.09155,120.8096,-2.4773538,31.582247,-3.4986598,6.067884,-7.033091,5.457584,-0.7853674,2.1794648,3.6017342,2.753907,2.129121,1.7100854,-0.8512221,1.1464604,2.0202138,-5.5487876,0.017151555,0.20346725,0.33624098,-3.0161705,-2.5099735,0.39101848,1.6994938,2.7676888,3.3845084,5.983813,1.8139361,0.31405148,-0.7798176,2.4492643,2.1075878,-0.38827595,4.330275,5.201156,0.36700857,-5.3107524,-1.8972311,1.2059761,-2.316737,-1.0728012,3.1392832,-0.055905897,-1.4258574,-0.09146025,0.30187532,-0.7530026,-0.12032183,-0.7694132,sad
44,-410.61026,110.98424,-6.261629,39.298313,-6.940691,10.308104,-13.116059,7.6589217,-2.3891544,4.193399,-3.0806231,5.457253,0.015455147,1.7022613,-4.4110403,3.6865761,-0.9433329,-5.0958056,0.31013948,-0.4577824,3.8134108,0.69895303,3.10614,5.274679,5.3932323,3.3924518,4.9444923,4.0491705,1.5304255,-0.5445942,-0.6814036,0.557022,-0.5310827,-2.1139314,1.0482001,1.9480202,-0.65060043,-6.015018,-2.1376202,-0.3521903,-2.0747817,-1.3956039,2.0584378,0.8981866,-0.7794024,0.19277623,1.398191,1.321517,0.3644701,-0.59805655,sad
45,-423.54645,126.42745,-10.683495,34.157402,-9.490782,17.927723,-13.717164,8.302683,-4.9520926,8.976709,-4.838016,4.413507,-0.40598175,3.0628207,-4.1253877,2.629722,0.35972682,-2.9057314,1.5497273,-1.7054702,2.1767573,-1.9987423,-0.17245358,2.301222,6.6597457,3.9655683,6.13536,5.203234,1.8675995,0.293181,-0.729763,0.39146942,0.1279774,-1.1624194,1.3739576,1.6187227,-0.6263202,-4.2315483,-2.6697469,-0.18564814,-2.5305793,-0.6577775,2.374016,-0.55996734,-0.64534116,0.8625805,2.2370434,0.124729514,-0.4034077,-1.4408139,sad
47,-342.25275,103.51767,-19.752348,43.18624,-4.0341263,4.1222305,-23.746365,2.6897535,-2.7364733,-1.2712256,-5.1637397,3.5889626,-1.2984256,4.4995685,-5.4568906,1.9417821,0.6462011,-3.7831295,0.8308105,-2.93259,-2.0365152,-4.2460585,-0.01382637,-0.34152964,4.4426646,6.789444,8.468526,9.372985,6.7815104,6.153816,3.6309607,2.5126708,2.4076402,1.1410502,2.8750746,-0.2529887,0.17494887,-2.6413534,-2.6543996,-1.9526986,-3.4299853,-1.7188439,0.08737436,0.49445248,-0.120065615,-0.3709448,-1.0220561,-1.1827807,-1.0954728,-0.72018874,sad
49,-435.06348,132.04352,-5.1701007,31.188265,-8.848515,13.924675,-16.823841,11.32935,-2.8761895,8.645341,-2.6197689,7.068835,-1.3094025,3.9982536,-4.2511487,1.6831876,0.20831816,-4.134199,0.5335648,0.62566555,1.3464514,-3.7660854,-0.520339,1.211162,2.4901638,-0.34450626,4.1452293,5.656938,3.552749,3.886886,2.5727627,2.3034027,2.0212157,-1.2572559,2.3304281,5.9402146,0.4056143,-4.571339,-1.2066077,1.5784922,-3.0066185,-1.2740611,2.9158876,-0.33573946,-0.32297307,-0.16242243,-0.1257525,-1.2499013,0.43771222,-1.9391327,sad
50,-423.57452,121.56236,-6.323667,34.35733,-10.003732,20.749622,-16.498503,13.382464,-4.815932,10.66124,-2.6919298,6.4757776,0.9222902,5.6451287,-2.973961,3.4691517,-0.38877392,-2.946853,1.1466496,-0.2489091,0.7799284,-3.5441709,-0.49339247,1.6792625,3.5430706,1.0892633,5.7476583,5.0285897,3.385874,2.9631407,2.530394,5.82492,3.8603446,1.2131062,4.293079,4.2115855,0.7497469,-4.681828,-0.34433487,0.9131866,-3.041345,-2.5244327,2.4665732,1.2550819,-0.07612427,-1.0095389,-0.7395964,0.47879243,0.9142629,-0.3302946,sad
52,-391.95047,130.50204,-12.316083,37.603344,-13.849703,18.151999,-17.297722,13.870118,-7.922921,11.881498,-1.8176509,5.599406,-4.687782,5.6785307,-5.9321623,2.2505598,-2.2046602,2.9297154,-1.5728877,-0.23082377,-0.065277435,-5.442637,2.2160442,0.07414539,4.080834,-1.8150194,0.7390903,3.924416,0.9789821,-2.932251,-1.6217965,2.544602,1.888553,-3.2083154,1.228709,3.6497426,-0.06332178,-2.8652263,-0.80300057,2.1160607,-0.9823451,-0.5253457,0.8887724,-1.8582975,0.42720878,0.790663,4.4716487,2.2602372,2.3159752,2.3473406,sad
56,-375.60336,143.88893,-23.376118,37.69266,-14.46261,14.088144,-21.430079,10.227601,-4.210715,6.5354047,-2.2340546,3.0319717,-5.1620445,5.325461,-9.676439,1.425826,-4.5301347,0.13363832,-2.3600106,-0.66833776,-1.2447951,-6.879246,2.9981005,-1.4446254,1.0709414,-0.7761247,1.1636199,1.6946281,0.471844,-1.6937691,0.012019791,0.95799786,1.4937197,-3.8270748,0.8753138,2.739103,0.6430344,-3.7281446,0.49737683,2.4356368,-2.1869361,-1.8587251,0.7516638,-1.7084858,-0.9206206,-2.3832448,0.45849127,0.13962796,0.03587026,0.48108417,sad
60,-424.59528,126.034676,-11.711406,43.9852,-18.525621,24.730082,-20.152561,20.038532,-6.248422,14.075756,-3.0817308,5.5197587,-5.8738995,8.152245,-6.6577363,2.371972,-1.260891,1.9477943,-2.0602722,3.9024408,0.6657472,-5.061999,2.3185103,0.25399068,3.5976858,-0.29723704,-0.44000605,4.9952993,2.9367905,-3.3237677,-3.3748279,0.35584834,1.4600478,-4.6158485,1.1390136,3.808328,0.35641092,-4.105681,1.5591456,4.170129,-0.67117673,0.21288681,3.8419077,-1.6603792,0.5009814,-0.9489871,1.8249384,-0.037334267,0.32279158,0.16745396,sad
61,-440.73212,134.156,-15.275375,40.51848,-15.361322,22.502945,-16.584229,19.276415,-4.94324,12.6862,-1.4073865,6.0568395,-4.495977,6.2057843,-5.161632,2.3982308,-1.6522332,1.9749997,-0.8870774,0.0022749468,1.4362671,-6.0950356,4.2276487,-0.76994437,4.932228,-1.2910317,-1.0146701,4.809023,3.0350993,-4.279493,-3.9544113,0.9658608,0.4879992,-5.2414284,2.7626235,5.02964,1.1816238,-4.1000986,0.80073065,4.9235563,-1.5328965,1.4815052,3.6479826,-2.5035973,0.21728371,-0.055341545,2.5662482,0.6752359,0.8950506,1.845438,sad
62,-447.75186,129.77495,-15.291234,41.265297,-18.657736,24.743414,-17.603582,20.49247,-4.747155,15.68963,-5.119019,5.1928077,-5.29964,6.4041166,-5.3513026,3.780168,0.18846066,2.44299,0.04353982,3.151992,0.4821089,-7.439667,3.5582657,0.6634028,4.3104243,-0.9973665,1.5188304,5.62108,2.2234461,-4.3654113,-2.8013275,2.5081859,1.4845617,-5.552219,2.0248082,3.182775,2.088546,-4.1574306,1.2272482,5.740483,-0.8001155,1.5419632,4.492528,0.3724217,2.9820056,0.5528329,3.819172,0.59787506,0.05973352,0.44433117,sad
64,-409.9615,133.67288,-14.241783,38.077293,-12.699083,19.399237,-17.434593,10.533879,-5.7271986,9.913855,-1.4543651,4.664874,-4.769991,7.0714912,-4.6772075,0.42700255,0.59099215,1.1297642,1.0751796,1.1736019,-0.29096287,-6.196029,3.2886963,-1.4089957,4.4810777,-0.5238565,0.105193526,3.6574967,2.0108213,-2.601145,-1.0266693,1.9739324,1.2532007,-5.1633654,-0.18372561,1.9936701,0.878657,-3.906675,0.1008156,5.3341355,-1.6507396,0.8355659,2.1500797,-0.24647991,1.5034721,2.2009661,4.4898605,3.0430737,1.3578895,2.0834613,sad
65,-402.27884,133.18141,-11.837398,45.79821,-15.788827,16.592709,-22.54599,10.964443,-6.732591,10.912167,-4.3820224,7.0930185,-5.147911,7.1797085,-9.090394,-0.63531643,-1.1378225,0.58493197,-1.1544456,2.674401,-1.8705568,-4.9549856,2.8376794,0.1115408,2.5600414,-1.9765154,-1.0976268,2.2953277,0.71443474,-1.2131873,-1.8386586,0.57887703,3.6915762,-4.0854874,1.5937216,1.8278198,1.409853,-2.5239375,1.931457,5.5168834,1.3030295,1.5227093,3.6532066,0.040346105,1.9189835,-0.09959296,3.3088968,1.0557871,-0.37030482,1.0343516,sad
83,-227.28433,117.57512,-35.790264,38.12137,-17.562387,-4.862847,-28.240776,-0.19929846,-3.0635192,-8.676381,-6.959678,-5.0182953,-12.802982,1.6672856,-9.338228,2.5179486,-1.8456886,-5.5961323,-1.0550281,-4.1303997,-0.2745017,-2.002897,-1.7396091,3.980362,5.4007807,3.4659953,4.942341,4.1101966,1.8774943,3.2615237,0.6654916,2.11327,-0.0638281,2.491259,0.9413112,1.106437,3.1670718,-1.2743148,-0.34056327,-2.039378,-1.2589958,1.4468708,2.6693127,0.8625522,-0.033545192,0.084169485,1.5161629,0.46589446,-1.0069206,-2.025999,exc
98,-178.18745,97.76151,-49.729397,15.358569,-11.505668,5.903474,-14.676904,0.537425,-10.632829,0.27696303,-12.041662,1.5378197,-8.186798,1.5236931,-10.161334,-2.5170386,-1.4506866,-3.8452172,1.6354238,1.9334106,3.4119532,-0.07192257,2.8418071,0.22706255,2.5682135,-0.92549056,3.4953625,2.7743244,3.8166273,0.8271919,2.2368512,1.0684482,1.7164901,1.9354001,1.3296481,1.5782402,1.0518484,2.6385307,0.99019706,2.7679625,0.5474748,1.071772,0.5715643,-0.610417,0.17804337,1.0606064,-0.56158394,-0.8185766,1.4909731,-0.07570897,exc
117,-330.77167,117.53676,-18.225958,35.23919,-13.234731,12.163008,-19.568434,8.824774,-13.865692,4.262878,-4.4926667,7.370694,-10.97174,1.1083934,-4.1700916,-1.8953711,0.28905332,-1.4317758,0.19224784,-0.9413999,-1.1091111,1.4523691,5.4181747,4.186665,6.7484355,1.9921653,2.9611611,3.418462,-1.1360489,-3.0009155,-2.9681685,-0.03585069,0.27362186,-1.8057638,-0.6821782,1.4015844,1.0789089,-0.19190812,-0.29889658,-0.67403704,-1.360932,1.6397147,0.7710362,-1.171626,1.0242321,1.4837412,2.3057184,1.5108895,3.0383272,1.079622,exc
148,-357.25827,113.30313,-15.355905,39.09341,-13.558321,9.25808,-23.686684,8.373492,-9.064809,8.110755,-6.8656645,5.7822137,-1.9878917,0.92289466,0.15817247,2.1264803,-1.2714705,-1.3359722,3.2773323,1.1351796,0.05057163,-0.5762939,-1.4666111,-0.8819101,1.8252379,2.8447943,3.5964348,3.9857357,3.1001384,1.975574,1.9631864,-1.5857588,0.48226067,-1.0530953,-0.08948594,0.931655,-1.5824491,-2.9022572,-2.6722593,-2.0036151,-2.6734107,-1.3616096,1.530894,-2.7173765,-0.6187939,1.4816222,-1.6152734,-1.5459462,-0.85167354,0.06973628,ang
149,-364.0919,107.50211,-22.366497,25.794966,-10.74092,9.779469,-14.162458,1.5110453,-2.9440908,1.6370838,0.82887506,3.7863724,3.1588063,5.443053,-2.8572347,1.1846493,3.3434546,1.3584727,3.6408505,-0.98237103,-0.8855261,0.16998507,-1.7849575,1.0558105,3.236103,3.0009873,1.1323901,2.0045989,1.5987709,-0.3632179,0.4823079,-1.4232765,-0.3538808,0.39049453,2.255021,1.1458699,0.5674164,-0.23261693,-1.5703017,-0.955487,-1.829229,-1.6827818,0.4781418,-0.26759374,1.1300113,1.4165093,0.4003859,-0.32738274,0.3106981,-0.6168948,ang
150,-278.16418,97.05487,-33.088314,23.17816,-18.815489,4.9421544,-15.458776,-1.1766584,-8.065306,-5.328183,-2.8023486,0.88071656,0.58115745,6.4396563,-2.0495825,10.159847,-0.808815,-1.1903124,1.3150297,-1.7175345,0.114054166,0.13729788,-3.1226373,0.8113784,-2.2040222,1.9861581,2.3766375,4.914219,5.8669806,7.052625,5.234415,0.7014402,2.951373,-0.06577729,1.8148996,-1.1817702,-1.5766376,-1.6962138,-0.81348145,-0.6505819,-3.7671978,-1.7918489,0.49501115,1.8217137,1.9956256,0.09713182,-0.47587353,-1.8033234,-0.98211366,-1.573639,ang
151,-277.49164,119.3625,-23.857237,30.70406,-3.5486128,-7.158602,-26.25748,-0.9992468,0.27106008,-8.093638,2.0013545,-2.7370632,-5.9494963,0.11997743,-5.3602266,-0.40626994,-2.1833537,-0.6440058,-4.192241,-1.636266,-3.9524913,-5.4258513,-1.4353584,-4.88346,-1.2842208,-1.4554789,-0.34730816,1.2425685,3.386409,3.2386122,0.73489577,0.3711182,-1.041955,-0.033718083,4.2046657,4.534303,5.146388,2.8809571,0.9146713,-0.8600361,-2.839711,-0.9397575,1.9332039,2.6142335,2.1440532,0.9922682,0.9611697,1.2744962,0.63991255,-1.1949774,ang
152,-348.47864,141.94714,-15.8559065,30.625315,-10.964188,13.91367,-27.957119,5.964445,-10.345793,3.5342693,-5.267078,0.63011897,-5.0122776,4.184272,-8.558216,4.1179514,-3.723844,-1.8422748,-1.911454,-1.9860486,-2.8727436,-4.049522,-1.4238995,-3.380201,0.86416256,-0.92629445,0.5092507,0.025360817,0.4113689,-0.7144594,-0.45002106,-0.19162472,-1.732089,-0.94835764,0.7819492,0.109625295,-1.0693963,-2.1327238,-0.019183604,1.2302548,0.7693116,4.585132,4.814385,3.2131257,2.988598,3.0945342,2.5250096,2.395568,3.0534232,1.3418926,ang
153,-336.1979,115.45957,-17.94368,33.174908,-5.9146094,5.3679914,-18.997007,0.922442,-3.4596727,-0.74188465,-2.4979928,-0.60583043,-3.2190168,3.7625659,-3.6645274,1.3006537,-3.8301842,-2.4299247,-0.47364047,-1.3143569,-0.9167874,-4.6649075,-1.8591337,-2.587867,0.05817259,-0.60634816,1.0170965,0.50742286,1.8369592,2.2368975,2.3321912,2.7363732,3.9179938,1.7098132,2.1849308,0.78507453,0.61379087,-0.96196425,1.1558006,0.8399288,-2.8482833,-0.18721367,0.28279123,0.71432793,0.4112648,1.2860054,0.82434523,-0.27037093,-1.0163717,-1.827586,ang
199,-348.74185,120.611916,-11.3711605,27.562332,-13.304393,16.301453,-15.931635,2.8221436,-5.750507,3.2937617,-1.142775,1.1552966,2.1375873,0.36223426,-7.248301,-0.45440152,-3.4898098,-5.110895,0.18252794,-3.082115,-1.2964748,-3.2520554,-2.6189544,-0.6284881,-3.7881153,-0.041142926,0.9422961,4.625509,5.5131774,3.1745143,1.8473809,0.056566104,1.7721442,-0.41243035,2.9544673,1.9462318,1.3495232,-0.52037525,1.8858287,1.950909,-1.7142028,-0.92543465,0.52021605,-0.06325619,-0.3782809,0.13125135,-0.5376883,-1.1108782,-0.474001,-0.30782813,ang
200,-290.76486,109.478134,-30.103848,38.78968,-15.822321,6.5163713,-22.136698,3.7933185,-3.1931918,-1.0881437,-3.3836737,-1.6517235,-1.7304657,2.1819484,-6.671779,2.1952684,-3.6155276,-2.2742643,-0.3252244,-1.6117271,-4.182009,-4.062512,-2.714123,-1.2018195,-1.4649519,0.8203626,1.56716,0.0098155495,2.641558,1.0270865,3.433463,0.30180338,2.193154,-1.080262,1.291142,1.6041223,1.6035326,1.8224071,2.7043557,2.551438,-1.7810634,-1.1476704,1.4069058,1.8827187,2.6573524,0.32874504,0.9685105,0.47216043,0.003044978,0.06705119,ang
202,-290.8542,103.21903,-30.844084,34.881866,-12.311763,6.5357747,-23.140478,0.821269,-10.622477,-4.070155,-0.8243584,4.0647483,-1.9252872,0.7562753,-10.384405,-0.21191812,-6.331446,-2.2321966,3.0495193,3.5675926,-1.7301332,2.4321895,1.0995257,0.47104222,1.8058892,4.3184085,3.5022762,5.3786488,0.48948357,-1.002235,4.7470055,4.8038435,1.8708589,-0.57871944,-1.384762,-0.28776717,-0.41075033,-4.3435106,-1.879711,0.5447206,-0.79962015,-2.3034616,-2.3217762,-2.5511906,-2.7853296,-3.8627543,-0.70145786,-2.3019326,-0.13478537,-0.30297384,ang
203,-263.9977,111.90725,-41.826607,38.428238,-17.595165,2.912847,-24.929138,3.756382,-1.1540092,-8.835199,2.931766,0.8478389,-0.28970614,-1.0606731,-9.944162,1.6305797,-5.5238156,-5.9678574,-1.1936494,-2.2393634,-3.0795217,-2.6120512,-4.0118575,-5.3300223,-3.520452,-4.2561927,-1.6230959,2.572288,2.9045851,2.4510095,6.6875176,5.604165,4.158099,4.70713,5.1823316,5.2986217,6.7825747,4.911824,4.060024,3.975226,1.9345913,0.5333333,0.4800395,-2.4994702,-0.9251218,-0.3105854,-0.8003063,-3.947054,-3.1298113,-1.6149963,ang
205,-284.80423,112.01513,-15.571807,34.615715,-12.582919,7.0534096,-22.915926,-3.154357,-14.285597,-2.128271,-7.9636803,0.6182023,-6.3881826,1.3445061,-11.044596,-0.11713696,-7.298843,-5.2912574,-1.7004597,-0.8399159,-1.5140324,-3.3235059,-0.75883055,-0.53045166,2.1089525,5.324516,3.831911,3.870603,3.1974387,2.076875,2.6580675,3.1560137,3.2689722,2.2072294,2.935145,3.356873,2.7623336,0.32922208,0.95989484,2.5714712,0.98638463,-1.2415779,0.3113426,-2.8738928,-0.72459686,0.84546584,0.2893411,-1.0812234,0.6645716,-0.23749414,ang
206,-171.27591,83.98861,-50.256847,25.094114,-23.601542,2.6269908,-18.850254,-3.7486837,-13.036181,-4.6652384,-6.698144,1.7449722,-4.845557,1.2679197,-11.977187,3.5815837,-6.5055037,-0.56468093,2.4663978,-0.17154324,2.938973,2.8382995,2.3433583,2.0634913,0.88812435,-0.33047405,2.614541,2.7846916,3.8851366,2.5698555,4.752874,3.3520265,4.0407333,1.9770355,2.459884,0.09195607,-0.883825,-1.216823,0.0232473,-0.94601965,-0.73868763,-1.3680478,-1.8056824,-3.1650283,-0.5399972,1.045101,-0.17629167,-2.391358,-1.1540122,-1.2233119,ang
207,-159.27817,77.59002,-47.72434,17.615189,-24.182955,-2.3741136,-22.198238,-7.930756,-11.178013,-0.6854764,3.7367637,7.4617763,-4.605331,3.7079914,-5.7093735,6.508078,-3.4914849,-2.0603552,3.3364704,3.6444335,0.42103842,2.352506,-1.470681,-2.719092,-0.027211888,-0.49229515,-1.2120554,-0.08703666,1.3076476,1.0574434,2.5843644,1.2429897,1.9972537,-0.56026703,1.4886576,-2.5296087,-0.85151964,0.00827583,-1.7006272,-0.7231287,1.8219495,0.029624075,-0.17603827,-0.6051267,2.5928931,-1.3260001,-0.27862602,0.85969645,-0.62437636,0.296006,ang
208,-137.28282,75.06982,-50.67803,25.718357,-24.559088,-6.016081,-15.841797,-6.112825,-10.975601,-0.5036571,-4.7714696,2.149117,-6.0421715,3.829145,-8.059177,4.7770095,-6.892943,-0.99757963,3.7650201,-3.6274877,-0.21859664,1.7055022,-1.410682,-1.3740174,-0.38094512,1.8376248,3.1014917,2.4458141,4.687857,1.0801358,4.7833843,2.568592,4.923546,2.5566597,1.5444819,-0.5469866,1.5913782,0.5292475,-0.5368451,-0.010398552,0.31023294,-0.6093547,-0.36225325,-0.89031005,-0.03425041,1.0658545,0.17179261,-0.8753754,-0.5841799,0.24355152,ang
209,-198.7415,79.77526,-29.049099,43.381878,-23.093988,3.683811,-19.97615,-2.9395688,-14.744525,-7.807872,-9.609721,-1.7130892,-11.622256,0.8714374,-16.608252,0.15541354,-7.705748,2.658952,4.9040136,10.310116,0.73499143,-2.7159522,-1.3177046,-7.1760435,-2.5101182,0.16616572,3.4090807,1.4058657,-0.4591241,4.6890006,5.547087,-4.4635744,-0.81149304,3.8314478,8.369457,1.9789242,0.34073704,1.5783459,5.0959387,1.9385685,-1.3582767,0.052087665,-2.7510216,-4.512763,0.13434835,2.4834144,1.0368451,-0.5882206,2.2275922,-1.5667007,ang
