,PCP1,PCP2,PCP3,PCP4,PCP5,PCP6,PCP7,PCP8,PCP9,PCP10,PCP11,PCP12,Label
308,0.17312713,0.14352852,0.17727311,0.2756526,0.24772874,0.28668982,0.30680588,0.40132648,0.5148107,0.45474878,0.34303957,0.27767527,exc
309,0.27440727,0.2956892,0.26732698,0.28013965,0.26976344,0.28748813,0.30537558,0.2582919,0.3646522,0.40269145,0.36327568,0.35796535,exc
310,0.26232672,0.18856512,0.21006522,0.26430157,0.28437328,0.21462311,0.2863533,0.4532722,0.45226723,0.4044619,0.34433272,0.3500659,exc
314,0.4326281,0.3031397,0.2734015,0.3580178,0.4252435,0.5261275,0.5669713,0.5420444,0.44245487,0.4378975,0.5483796,0.5454827,exc
315,0.36318594,0.3843759,0.32112214,0.34816694,0.35719767,0.369655,0.40365744,0.4578486,0.51953256,0.458703,0.42715248,0.35892248,exc
317,0.32175905,0.26013732,0.23557165,0.27941725,0.25494054,0.3195259,0.31740126,0.2626472,0.31420115,0.40881374,0.4630485,0.45965397,exc
318,0.31592053,0.33970612,0.3455341,0.33580747,0.2692942,0.32556874,0.4152701,0.4000431,0.42852944,0.4179349,0.39059916,0.33859396,exc
321,0.41304058,0.32787514,0.28839174,0.34498468,0.33932182,0.3737377,0.4258467,0.3663183,0.37690187,0.40714115,0.39767656,0.42910916,exc
322,0.3639286,0.30145523,0.3582065,0.41121954,0.47808206,0.5056706,0.4081596,0.28147396,0.28940073,0.417506,0.37631595,0.4116674,exc
323,0.37025994,0.39598948,0.4216833,0.40757987,0.38544884,0.36742246,0.42879066,0.4409101,0.39044598,0.40913042,0.34316257,0.33953235,exc
324,0.29484645,0.30042657,0.3198089,0.2513626,0.20801093,0.18316239,0.2460974,0.28075704,0.2754637,0.36826605,0.2661391,0.3108905,exc
325,0.26640806,0.31017894,0.35394043,0.37717643,0.3538974,0.42315212,0.4291805,0.36097428,0.29609686,0.22569633,0.28202283,0.34242758,exc
326,0.29349646,0.27918616,0.2622631,0.25679478,0.27318865,0.30661607,0.3380746,0.3930074,0.41981474,0.3913459,0.3679383,0.34366083,exc
327,0.3049769,0.21749845,0.20070256,0.2651675,0.31846872,0.27564016,0.28587565,0.3267613,0.34745875,0.3693958,0.37035018,0.34573138,exc
328,0.44296402,0.37762418,0.41196442,0.3923161,0.35962924,0.2972565,0.3029259,0.2988544,0.33949777,0.3681993,0.42013714,0.49825582,exc
329,0.30741033,0.27467418,0.24078538,0.23722546,0.26437077,0.28404582,0.2637799,0.24351327,0.2561888,0.35000363,0.49893972,0.4116576,exc
330,0.27480963,0.26817775,0.2514881,0.3266323,0.47179177,0.49725997,0.4915004,0.4337995,0.35246655,0.3919507,0.2718079,0.2357222,exc
331,0.33776003,0.29982924,0.18323499,0.19162281,0.24764426,0.26300567,0.27730632,0.30619222,0.31308815,0.24566025,0.17458767,0.22703572,exc
336,0.3929658,0.32056132,0.27715167,0.29616067,0.3184893,0.31511635,0.3131685,0.2430689,0.251408,0.34704864,0.4130157,0.46712914,exc
337,0.35198867,0.36527812,0.41097522,0.4442962,0.41010064,0.3674107,0.41993386,0.42436773,0.395383,0.3487948,0.35854328,0.37029198,exc
339,0.16187549,0.09426856,0.12239912,0.26105872,0.25899413,0.26036265,0.216989,0.2545466,0.42626417,0.49919456,0.18603556,0.11138314,exc
377,0.6158708,0.51649904,0.48120728,0.44118512,0.35828844,0.4096982,0.40289623,0.4523095,0.53704995,0.5602997,0.48248726,0.55288243,ang
379,0.37548906,0.3311273,0.27242792,0.36617908,0.3796725,0.40942982,0.4024985,0.4347964,0.41929334,0.3983186,0.37842792,0.37197968,ang
380,0.3521723,0.3389299,0.29547763,0.36718968,0.31489232,0.3106279,0.38293064,0.48349306,0.40784776,0.26461035,0.32857653,0.3308551,ang
383,0.4081392,0.3602582,0.35881665,0.35638645,0.38114035,0.39615914,0.34167013,0.3890539,0.44197303,0.39718062,0.38911918,0.4546812,ang
384,0.68509716,0.4635093,0.41216135,0.43157926,0.39159915,0.37390614,0.44899884,0.42337972,0.4030533,0.472706,0.5397601,0.6508195,ang
406,0.317671,0.35755587,0.39520848,0.4098848,0.38875848,0.4181276,0.4336339,0.4018386,0.36193463,0.38972467,0.37411526,0.34689826,ang
434,0.6506804,0.5288153,0.54213583,0.46458206,0.37718195,0.3640643,0.3670854,0.45772398,0.5441325,0.60975873,0.45173854,0.64968336,ang
435,0.6064528,0.5463017,0.4684483,0.5046161,0.5424414,0.55644673,0.47088587,0.531758,0.5854173,0.55729115,0.5034612,0.5197915,ang
436,0.5410629,0.43666717,0.40087476,0.39223352,0.3603395,0.40213338,0.37418243,0.37954298,0.43671107,0.62033665,0.47985035,0.483904,ang
437,0.38279697,0.3577988,0.40784192,0.42064825,0.4976312,0.4459144,0.41356707,0.41839218,0.43644357,0.48231742,0.3911283,0.4457682,ang
438,0.36747834,0.33057743,0.34830007,0.326887,0.39957502,0.41952255,0.38875392,0.41308776,0.36303854,0.37746894,0.37371865,0.43567482,ang
439,0.4085879,0.36212283,0.3503171,0.3194743,0.39150923,0.37770987,0.33226684,0.35474718,0.34457585,0.38982207,0.34685028,0.4257011,ang
440,0.4462151,0.36963698,0.40095052,0.4638341,0.4525016,0.5754721,0.47624314,0.39787218,0.4362043,0.5149608,0.41992876,0.3980998,ang
441,0.43000573,0.37097558,0.36505106,0.39175507,0.37300304,0.4146653,0.39352348,0.37882805,0.35426703,0.44877705,0.43426794,0.42823675,ang
442,0.6248119,0.52720785,0.5481397,0.5109871,0.55277187,0.47535974,0.35560066,0.40622205,0.4756677,0.5379484,0.41061598,0.5952605,ang
443,0.36083078,0.34877813,0.34261963,0.33459243,0.31818122,0.3044644,0.3109957,0.34865734,0.35509673,0.31868255,0.29729635,0.32397836,ang
444,0.18205471,0.20935832,0.21397816,0.27706107,0.33177304,0.3350743,0.32179666,0.33432013,0.30909392,0.2576744,0.23229048,0.21800022,ang
463,0.64607084,0.58258677,0.5031435,0.47175583,0.43382126,0.4734877,0.41074142,0.41463915,0.42140532,0.493371,0.42412826,0.57690316,ang
494,0.68691003,0.5055543,0.39481476,0.3685691,0.39194018,0.5653819,0.5333491,0.40020388,0.36562362,0.51230854,0.4943587,0.5648586,sad
521,0.5743546,0.54590106,0.5924829,0.6605956,0.5843905,0.528113,0.465908,0.36072695,0.401228,0.52262956,0.482263,0.52268267,sad
522,0.64197135,0.5576968,0.5549012,0.5600027,0.48272,0.51578015,0.477931,0.33620015,0.36886165,0.57237417,0.5428831,0.561114,sad
523,0.72780627,0.6015703,0.5826711,0.62593573,0.53795016,0.5900886,0.61706936,0.44591355,0.4703663,0.6595634,0.5463643,0.57086587,sad
524,0.77048624,0.69296086,0.6545815,0.66941,0.57005864,0.6150507,0.54245245,0.37665927,0.37577868,0.5716847,0.49251634,0.60763854,sad
525,0.614391,0.5597316,0.49999532,0.5067306,0.47632748,0.4645753,0.45329696,0.37860736,0.42139006,0.56212837,0.47944796,0.50351965,sad
526,0.76993406,0.7107111,0.6875818,0.7293903,0.6712324,0.6251557,0.6236299,0.43577757,0.43342233,0.6039044,0.53495526,0.5587529,sad
527,0.77113956,0.7029423,0.64569294,0.6908477,0.5871468,0.6066908,0.5796048,0.40155056,0.4623432,0.6606011,0.5192194,0.55868614,sad
528,0.7443903,0.6693528,0.6142246,0.5952535,0.5704683,0.5554213,0.5724359,0.43543136,0.44022626,0.5672545,0.53329515,0.5598434,sad
529,0.54692864,0.5103519,0.491064,0.49475348,0.48510048,0.54265934,0.42714402,0.46143603,0.56470144,0.5403169,0.47041318,0.6029218,sad
530,0.6855688,0.60044664,0.5572646,0.5385077,0.5007064,0.52929026,0.5529559,0.44104436,0.42514646,0.5356732,0.49763453,0.58507466,sad
532,0.5981637,0.56321347,0.51724243,0.53396297,0.47649178,0.5417252,0.49586913,0.44285843,0.42491087,0.5203353,0.48197603,0.5864532,sad
533,0.5651339,0.5826968,0.558065,0.5298144,0.49087727,0.54291064,0.4019349,0.4066042,0.53556806,0.61688733,0.5844848,0.6229607,sad
536,0.705396,0.67441535,0.60146284,0.5878465,0.5407062,0.5936,0.573997,0.45000416,0.43539938,0.55924004,0.4763043,0.58365256,sad
545,0.23022518,0.24273436,0.27138522,0.3544889,0.34514764,0.42202902,0.38689637,0.32507163,0.3290841,0.3339265,0.3469777,0.3190064,ang
546,0.19011727,0.1346671,0.2561187,0.33903357,0.3207841,0.49530542,0.32778108,0.25143427,0.2658479,0.28575152,0.26239184,0.30722007,ang
549,0.5368268,0.4752468,0.61638314,0.59491193,0.45124537,0.4765302,0.4189677,0.35456774,0.44362092,0.7085787,0.52893114,0.47843528,sad
567,0.5729012,0.5515676,0.6305138,0.5856676,0.496047,0.5254403,0.46770337,0.40945804,0.44155324,0.58705425,0.55991817,0.53716224,exc
581,0.50055724,0.45383325,0.43541592,0.48560116,0.4519657,0.4919269,0.45617175,0.3963547,0.39527357,0.44056392,0.42778242,0.47730517,exc
600,0.5112915,0.5499993,0.5188203,0.6451672,0.628446,0.57707936,0.5890284,0.43426925,0.41399696,0.5024667,0.4964488,0.47845274,exc
603,0.49930468,0.48236883,0.46017742,0.5036891,0.4300486,0.44314483,0.4226081,0.4238362,0.50720507,0.55133295,0.4745913,0.48810804,exc
605,0.4511482,0.46674037,0.46652335,0.47007194,0.42545444,0.45663586,0.39704835,0.45765558,0.4999826,0.4699512,0.43061152,0.44647822,exc
616,0.34314594,0.29186562,0.31542104,0.38187715,0.32163036,0.32144493,0.30577734,0.3462244,0.37797502,0.38663635,0.37578705,0.33712858,ang
618,0.40016502,0.36097917,0.3610743,0.46048376,0.40721086,0.43043873,0.46501067,0.3623559,0.3463502,0.44434267,0.3988551,0.4240799,ang
619,0.2767428,0.28313696,0.29049635,0.3167594,0.30214712,0.40958825,0.45721647,0.4253418,0.30736476,0.3547164,0.35907307,0.2842006,ang
620,0.45962504,0.40909106,0.43945605,0.4329475,0.45164007,0.5067416,0.38529348,0.4007723,0.39418554,0.4023086,0.39908633,0.44706374,ang
625,0.43536112,0.33729863,0.33977556,0.3459739,0.33823204,0.43886006,0.4234332,0.41876045,0.40273723,0.3861255,0.38443747,0.4531857,sad
626,0.36454645,0.30469474,0.34600186,0.40617678,0.44402215,0.48787844,0.44364363,0.43527347,0.41042116,0.43883532,0.41882882,0.38100943,ang
632,0.5721904,0.48405585,0.57549274,0.5577653,0.49550837,0.5675536,0.45665112,0.33182016,0.32922933,0.40985313,0.39161983,0.49911466,sad
644,0.53128225,0.39404914,0.38535923,0.38511685,0.38269916,0.5280659,0.4529277,0.33518013,0.35053894,0.36608607,0.39628842,0.4821625,sad
645,0.32722768,0.29668012,0.33185333,0.34849206,0.35889193,0.42521495,0.4054124,0.4416589,0.41495463,0.38427824,0.3904503,0.42624593,sad
646,0.60333014,0.4336877,0.52613276,0.56444126,0.4768894,0.4679504,0.39650288,0.30226424,0.34838554,0.4725113,0.53643054,0.6565591,sad
650,0.51851,0.47463268,0.5385353,0.57103807,0.52681017,0.51093584,0.35839856,0.316611,0.35326388,0.41358545,0.4964859,0.60794294,sad
656,0.58713526,0.4312104,0.40815255,0.44358298,0.5302583,0.6965981,0.5303859,0.33744848,0.2822,0.3732659,0.4262852,0.5282689,sad
658,0.52934486,0.44171345,0.4178599,0.48089436,0.3874559,0.32774282,0.35756344,0.33908916,0.40373623,0.4554984,0.46426687,0.569588,exc
659,0.43604082,0.45577797,0.4335033,0.43634158,0.4102936,0.4938143,0.5530055,0.570205,0.6259568,0.5523579,0.4333672,0.40332863,exc
695,0.49717134,0.5104242,0.5251241,0.5873058,0.5230604,0.5212847,0.43444213,0.33195907,0.385408,0.60308397,0.59112924,0.51092565,sad
696,0.59119284,0.59252125,0.67309374,0.68155396,0.4768772,0.47550717,0.45307627,0.3757132,0.35705087,0.45656586,0.44176814,0.53560823,sad
714,0.47710437,0.44845703,0.37872973,0.40429044,0.37231544,0.39816275,0.39093688,0.3518653,0.3938598,0.40472943,0.4228374,0.47217792,exc
715,0.30307183,0.31225175,0.32533783,0.38100168,0.40982533,0.52261364,0.56011844,0.38406044,0.39927652,0.5325335,0.49495232,0.37951154,exc
720,0.5640541,0.45945144,0.45645922,0.4905598,0.4900696,0.5725797,0.51674116,0.37637797,0.40490216,0.43907043,0.5151667,0.62923616,exc
732,0.3083571,0.31163073,0.2892009,0.37008277,0.29993764,0.27479947,0.25210854,0.2627839,0.31359932,0.35616228,0.35117623,0.33205587,exc
745,0.69573444,0.6797372,0.6265768,0.6505968,0.567785,0.56152827,0.65093243,0.5647159,0.48190188,0.47904593,0.5648554,0.6522577,exc
761,0.54850686,0.67181164,0.7166763,0.69000167,0.5939928,0.5526238,0.5699384,0.4345831,0.38405934,0.40623865,0.42310333,0.46205533,exc
764,0.36563653,0.39606977,0.40777454,0.4592032,0.42304856,0.3533491,0.3352794,0.32610106,0.35941303,0.35852572,0.3653425,0.3706579,exc
792,0.5837958,0.5480912,0.556419,0.66337883,0.58225083,0.6120243,0.5184113,0.42088658,0.4335965,0.49423197,0.48226324,0.51698726,ang
793,0.6631058,0.50114846,0.47936976,0.51723427,0.51191145,0.49605605,0.5360537,0.49512482,0.47235063,0.546317,0.5471065,0.5807261,ang
794,0.37234104,0.33265984,0.49219182,0.613296,0.50377256,0.4417023,0.4197599,0.3338286,0.30907726,0.41247833,0.39448655,0.3703535,ang
795,0.36453852,0.36441588,0.3375132,0.33830187,0.34878242,0.4418832,0.4314188,0.38670254,0.37848324,0.41416642,0.4264095,0.3800908,ang
796,0.56356156,0.47036767,0.5045097,0.48327526,0.41917223,0.41126332,0.4327345,0.44789767,0.5237335,0.613366,0.5761651,0.55777496,ang
797,0.6432902,0.55260146,0.59249175,0.5974825,0.5718844,0.59728897,0.5691725,0.4390224,0.5113443,0.66075987,0.65399975,0.6428031,ang
800,0.32830936,0.36471292,0.3584199,0.33998394,0.35751504,0.40441382,0.40927342,0.41929752,0.4058962,0.35895357,0.32759833,0.29973057,ang
801,0.33315516,0.36936235,0.4232748,0.3620351,0.3767041,0.3604016,0.45153725,0.52448434,0.50471205,0.41993135,0.35252294,0.35959157,ang
802,0.30089045,0.27140573,0.2505947,0.2500842,0.42058635,0.39104083,0.32815906,0.36312246,0.3700041,0.32690814,0.29261082,0.2732619,ang
803,0.40176395,0.39072406,0.487226,0.5478422,0.5128286,0.4897041,0.38188866,0.33219138,0.38067344,0.4053798,0.35020873,0.35502845,ang
804,0.2750486,0.29658768,0.39593703,0.41886863,0.4170678,0.35596663,0.27348295,0.19758128,0.23265912,0.26385885,0.28588396,0.37731248,ang
805,0.34290636,0.34546497,0.3884236,0.43010405,0.422191,0.4557429,0.38156873,0.42448172,0.5099065,0.4711773,0.3653006,0.35147417,ang
806,0.29941577,0.32155642,0.41677696,0.47272056,0.45702773,0.5459756,0.5285347,0.52685714,0.51994824,0.39816675,0.3089313,0.32407972,ang
807,0.3697444,0.2847118,0.24664523,0.41851127,0.38566753,0.3155166,0.26881564,0.24838838,0.3225033,0.3564088,0.37750128,0.47872528,ang
808,0.26625764,0.28010893,0.34459034,0.33743018,0.3601117,0.42383936,0.4029826,0.46905205,0.50563794,0.4099602,0.31239706,0.29041559,ang
813,0.43175068,0.50578237,0.61613107,0.52887887,0.44330296,0.4586115,0.36625016,0.34695333,0.45176113,0.49601993,0.44622034,0.42851794,ang
814,0.46951562,0.3990121,0.37775278,0.39162722,0.39418307,0.4574239,0.4073749,0.3607997,0.43223333,0.49383172,0.48806816,0.4630546,ang
815,0.30356553,0.23551396,0.19911732,0.23616615,0.3236935,0.3254224,0.2998596,0.3533422,0.38962528,0.3596599,0.32079843,0.31153762,ang
816,0.28534555,0.36329675,0.34451595,0.31636766,0.3469062,0.34319705,0.32997036,0.33577976,0.35517672,0.2950076,0.23643602,0.21034124,ang
817,0.4290944,0.39144358,0.41955104,0.4656439,0.50566924,0.60860884,0.50582725,0.46647912,0.4248904,0.41342708,0.4196073,0.43515652,ang
