,LCP1,LCP2,LCP3,LCP4,LCP5,LCP6,LCP7,LCP8,LCP9,LCP10,LCP11,Label
65,1.0,-5.361601,14.862455,-28.20047,40.318672,-45.127396,39.95584,-27.68092,14.4306135,-5.1333737,0.940449,sad
83,1.0,-4.8091125,12.220319,-21.606627,29.265642,-31.699059,27.779572,-19.380777,10.280036,-3.7785366,0.74216026,exc
98,1.0,-4.434754,10.369441,-17.135479,22.09953,-23.014917,19.508766,-13.287531,7.0048127,-2.5900948,0.505722,exc
117,1.0,-4.353187,10.140606,-17.172401,22.963692,-24.854252,21.955051,-15.671249,8.826659,-3.5889845,0.76987123,exc
148,1.0,-4.421695,10.520487,-17.960915,23.936441,-25.644953,22.308102,-15.623433,8.538912,-3.34684,0.7111602,ang
149,1.0,-5.2495475,14.2068205,-26.310665,36.86435,-40.676437,35.734783,-24.704176,12.893866,-4.590549,0.8407853,ang
150,1.0,-5.2147245,14.23045,-26.672943,37.775875,-42.046318,37.20167,-25.848087,13.5457735,-4.8629823,0.9117582,ang
151,1.0,-5.7740164,16.843655,-32.856598,47.65239,-53.808777,47.939453,-33.268974,17.185478,-5.945951,1.0403389,ang
152,1.0,-4.442003,10.5896435,-18.085693,24.068893,-25.767656,22.465036,-15.722827,8.480451,-3.2401674,0.6726599,ang
153,1.0,-5.6023874,15.92373,-30.475327,43.699635,-49.189934,44.057228,-30.999777,16.371143,-5.836231,1.0579594,ang
199,1.0,-4.7987204,12.167564,-21.456799,28.875238,-30.81805,26.391716,-17.89078,9.194359,-3.256425,0.6092204,ang
200,1.0,-5.6078854,16.00496,-30.734577,44.091705,-49.445538,43.90688,-30.467196,15.782103,-5.4943256,0.9722263,ang
202,1.0,-4.5974636,11.217086,-19.192322,25.276531,-26.62534,22.66914,-15.385475,7.9672637,-2.8643034,0.55075246,ang
203,1.0,-5.9014235,17.642897,-35.218502,52.02851,-59.43869,53.182198,-36.844517,18.952007,-6.5438466,1.1509597,ang
205,1.0,-4.5640216,11.104868,-19.120672,25.48508,-27.240137,23.56568,-16.274658,8.608856,-3.1781688,0.6243133,ang
206,1.0,-4.978354,13.000903,-23.4267,32.12501,-34.90457,30.360348,-20.8285,10.776267,-3.8014648,0.69750804,ang
207,1.0,-5.1313953,13.67907,-24.968842,34.438484,-37.34371,32.159252,-21.66753,10.917898,-3.7165046,0.6503596,ang
208,1.0,-4.3103127,10.026344,-16.623152,21.628357,-22.845053,19.749016,-13.801376,7.49613,-2.8636622,0.58738315,ang
209,1.0,-4.4340377,10.616139,-17.956352,23.542755,-24.848755,21.267385,-14.530618,7.5752425,-2.7313402,0.52857816,ang
210,1.0,-4.5411177,10.910524,-18.434513,24.238174,-25.817814,22.491663,-15.7469845,8.470155,-3.1801836,0.6363371,ang
211,1.0,-4.1069493,9.109471,-14.562623,18.37612,-18.957853,16.13535,-11.136324,6.0373135,-2.3596096,0.5012019,ang
212,1.0,-5.039094,13.248046,-24.028385,33.168114,-36.341747,31.990953,-22.284935,11.740741,-4.2380204,0.79722404,ang
213,1.0,-4.5830517,11.224057,-19.467094,26.12984,-28.136154,24.564754,-17.148697,9.196232,-3.460418,0.69549274,ang
214,1.0,-5.284364,14.227913,-25.980574,35.87438,-39.34246,34.765556,-24.346714,12.843808,-4.5758314,0.8288277,ang
215,1.0,-4.9075923,12.394023,-21.463005,28.252108,-29.501728,24.750933,-16.454391,8.279431,-2.8356984,0.49763367,ang
216,1.0,-4.213512,9.486952,-15.21857,19.249565,-19.943893,17.068808,-11.858518,6.400811,-2.4097893,0.4760124,ang
217,1.0,-4.0042033,9.0764065,-15.192162,20.025385,-21.438362,18.848217,-13.436682,7.5032473,-3.06547,0.71131223,ang
219,1.0,-5.7305193,16.49099,-31.816914,45.803505,-51.376083,45.418922,-31.268051,16.037777,-5.5008802,0.9449609,ang
220,1.0,-6.8455296,23.294014,-51.491417,82.26907,-100.01233,94.221176,-68.199936,36.39145,-12.915671,2.2988782,ang
221,1.0,-5.0087514,13.0217495,-23.413982,32.163002,-35.06602,30.632353,-21.1675,11.098398,-3.9962022,0.74731445,ang
260,1.0,-5.358344,14.855555,-28.154535,40.144997,-44.825874,39.643097,-27.434837,14.261255,-5.0567946,0.9273812,sad
263,1.0,-4.486501,10.374,-16.78829,20.737743,-19.878813,14.717878,-8.129026,2.902491,-0.33572388,-0.112095825,sad
264,1.0,-5.4921937,15.472907,-29.560991,42.343407,-47.352013,41.77497,-28.74893,14.79731,-5.1411223,0.9125137,sad
265,1.0,4464853.0,-20072694.0,45656612.0,-70280820.0,80527860.0,-70332600.0,45731244.0,-20133624.0,4494077.5,-6309.458,sad
266,1.0,-4.57103,10.646094,-16.947638,20.148159,-18.239798,12.296143,-5.6141567,1.1038339,0.4496103,-0.2700574,sad
268,1.0,-5.161776,14.236814,-27.199762,39.299187,-44.636993,40.31646,-28.661118,15.452082,-5.803878,1.1688751,sad
269,1.0,-5.465695,15.390886,-29.438257,42.229973,-47.323383,41.88382,-28.94298,14.980201,-5.253751,0.9470875,sad
270,1.0,-5.41341,15.201721,-29.134624,42.086575,-47.771282,43.11026,-30.60829,16.446236,-6.072354,1.1679881,sad
271,1.0,-4.7800956,12.015669,-21.197166,28.746939,-30.991589,26.791782,-18.365866,9.596327,-3.463353,0.6504684,sad
272,1.0,-4.203235,9.737985,-16.384777,21.531448,-22.864758,19.859379,-13.932544,7.6039605,-2.9968781,0.65931016,sad
273,1.0,-5.019139,13.1141205,-23.809025,32.970753,-36.058483,31.439121,-21.597927,11.236576,-4.0055676,0.7332102,sad
278,1.0,-3494.9497,9388.929,-5421.6567,-15304.67,42567.688,-57163.566,48820.43,-25762.598,6295.098,75.885414,sad
279,1.0,114.93655,-596.3701,1516.4304,-2540.6099,3095.5886,-2823.726,1905.1145,-889.9257,238.11337,-19.575342,sad
280,1.0,-4.982653,13.130302,-24.142818,33.939777,-37.835182,33.785828,-23.920097,12.940804,-4.879555,0.97242343,sad
281,1.0,13.542482,-53.777584,89.55784,-80.99458,16.295435,71.159805,-125.88461,119.156975,-68.94928,18.990011,sad
282,1.0,-14.631711,59.15852,-136.56967,222.07062,-275.16138,267.37952,-202.98918,115.760185,-44.784893,8.761699,sad
283,1.0,533.4419,-2421.1301,5650.8237,-8999.525,10648.727,-9580.777,6472.6187,-3084.702,855.3497,-70.637535,sad
284,1.0,-4.3379116,10.492665,-18.321903,24.783302,-26.90343,23.67283,-16.674374,9.060265,-3.5041542,0.7461859,sad
286,1.0,-6.0403256,18.402325,-37.193478,55.568764,-64.463135,58.95971,-42.077667,22.460419,-8.100525,1.4938256,sad
287,1.0,-4.189491,9.745006,-16.363213,21.447891,-22.784468,19.715149,-13.742241,7.428045,-2.8340774,0.5865822,sad
290,1.0,0.9713621,0.4967556,-27.980137,90.124214,-166.51756,215.40544,-204.18613,141.56075,-66.73707,15.988857,sad
294,1.0,-5.130164,13.611788,-24.865005,34.435265,-37.610558,32.752625,-22.420557,11.546785,-4.0433297,0.7253057,sad
305,1.0,-4.00838,8.827377,-14.111347,17.922113,-18.630434,16.058445,-11.349056,6.3384056,-2.567561,0.5888805,exc
307,1.0,162.95207,-824.8309,2081.1687,-3477.8042,4247.6226,-3914.3037,2690.6755,-1298.9481,379.15326,-44.01208,exc
308,1.0,-4.0516667,9.006823,-14.544628,18.647305,-19.523678,16.868134,-11.895407,6.6219754,-2.6459267,0.57939756,exc
309,1.0,-5.14052,13.630289,-24.96014,34.855835,-38.493866,33.942726,-23.639723,12.487876,-4.5051966,0.82825106,exc
310,1.0,-3.922872,8.397679,-13.110966,16.385138,-16.858553,14.458233,-10.218185,5.746463,-2.3460057,0.52922964,exc
314,1.0,-5.3495502,14.773501,-27.840748,39.586823,-44.21276,39.194942,-27.277838,14.304354,-5.1078105,0.939759,exc
315,1.0,-4.290248,9.968945,-16.572695,21.586838,-22.712975,19.4531,-13.411677,7.2236614,-2.796056,0.59589916,exc
317,1.0,-4.8726783,12.544251,-22.386711,30.512669,-33.08225,28.835476,-19.893608,10.376297,-3.709927,0.7002555,exc
318,1.0,48.76148,-278.16852,753.95844,-1323.2217,1661.8281,-1538.5507,1039.3392,-482.59592,130.59712,-12.365692,exc
321,1.0,49.111988,-296.0494,829.6593,-1478.1249,1865.8942,-1730.9606,1165.8806,-532.4506,137.86598,-11.383622,exc
322,1.0,-4.5539103,11.112987,-19.205414,25.75803,-27.783367,24.355251,-17.13139,9.294025,-3.5563982,0.73273814,exc
323,1.0,-4.1301985,9.347269,-15.372983,20.000492,-21.139725,18.304409,-12.873188,7.1113124,-2.8126204,0.6127609,exc
324,1.0,-6.3452444,20.98077,-46.132122,74.115105,-91.45607,88.46102,-66.6539,37.663692,-14.424334,2.8076513,exc
325,1.0,375.01056,-2150.9634,5933.276,-10420.778,12814.206,-11339.521,7104.1377,-2926.4167,644.86835,-32.69832,exc
326,1.0,-4.917159,12.707906,-22.989384,32.016273,-35.539146,31.735577,-22.580402,12.352263,-4.7208695,0.9476775,exc
327,1.0,-4.439273,10.509185,-17.835447,23.751318,-25.486004,22.192924,-15.556697,8.484384,-3.275089,0.6739258,exc
328,1.0,-6.166589,18.969799,-38.42871,57.250282,-66.07576,60.10988,-42.58048,22.41038,-7.8640285,1.3854327,exc
329,1.0,-4.886071,12.701094,-23.012726,31.921387,-35.31067,31.519764,-22.41544,12.186304,-4.616856,0.9339572,exc
330,1.0,-4.8421464,12.209124,-21.46191,29.090261,-31.452324,27.309753,-18.839611,9.954157,-3.6422873,0.691979,exc
331,1.0,-5.1177773,13.600253,-25.034088,35.120834,-39.075443,34.925896,-24.74775,13.351486,-4.981058,0.96381927,exc
336,1.0,-4.918406,12.671268,-22.659071,31.017616,-33.828953,29.70624,-20.720846,10.9963875,-4.023848,0.7720308,exc
337,1.0,-6.05778,25.26139,-68.25358,126.862274,-174.58127,185.49146,-153.24153,95.16964,-40.16274,8.6626425,exc
339,1.0,-4.083228,8.962442,-14.531461,18.803791,-19.747145,16.929201,-11.797939,6.4873004,-2.529998,0.5154694,exc
377,1.0,-4.9734354,12.811468,-22.681967,30.672756,-33.170937,29.020443,-20.175888,10.608108,-3.810977,0.7156002,ang
379,1.0,-4.780743,11.997556,-20.926018,28.069979,-30.202467,26.358753,-18.374554,9.7656,-3.5724235,0.68390054,ang
380,1.0,-4.7884264,12.117525,-21.375893,28.838911,-31.023903,26.952858,-18.570848,9.702806,-3.4868727,0.65123993,ang
383,1.0,-4.6089897,11.291622,-19.484203,26.013645,-27.916073,24.327173,-16.95207,9.063854,-3.3842454,0.66984504,ang
384,1.0,-4.618512,11.45471,-19.98183,26.853046,-28.926723,25.2421,-17.579493,9.348732,-3.4610865,0.69110966,ang
406,1.0,-6.240349,25.729845,-68.68901,126.6366,-173.90958,184.53888,-151.53456,93.539345,-39.545334,8.551114,ang
434,1.0,-5.5127044,15.353876,-28.733904,40.3122,-44.535877,39.289436,-27.22526,14.064119,-4.8447957,0.83832073,ang
435,1.0,-4.7968225,12.192425,-21.84955,30.14494,-33.0348,29.0248,-20.242733,10.835619,-4.080776,0.82008016,ang
436,1.0,-4.6878767,11.634042,-20.252254,27.14838,-29.105587,25.21839,-17.389538,9.174345,-3.3895195,0.66827744,ang
437,1.0,-4.4654393,10.697955,-18.264713,24.262,-25.900795,22.433403,-15.566197,8.339821,-3.1489282,0.6342393,ang
438,1.0,-4.8946147,12.651166,-22.769505,31.35295,-34.320778,30.182777,-21.045681,11.158012,-4.0725965,0.77446854,ang
439,1.0,-5.0992603,13.495972,-24.558578,33.946163,-37.11152,32.427803,-22.326927,11.587149,-4.086512,0.7392641,ang
440,1.0,-5.3612623,14.835133,-28.074482,40.18327,-45.393562,40.989365,-29.255604,15.84573,-5.8951583,1.1341922,ang
441,1.0,-5.2767334,14.320065,-26.343212,36.301506,-39.051086,33.1179,-21.777716,10.579186,-3.4143476,0.55572736,ang
442,1.0,-4.65414,11.510131,-20.011713,26.806374,-28.719738,24.931385,-17.278065,9.1772175,-3.408041,0.67210597,ang
443,1.0,-4.777496,12.066787,-21.264055,28.73788,-30.905785,26.694435,-18.247322,9.460758,-3.3716836,0.6288949,ang
444,1.0,-4.740064,11.853694,-20.676237,27.685715,-29.53175,25.308002,-17.171253,8.841684,-3.114732,0.5663686,ang
463,1.0,-4.83359,12.240113,-21.512794,28.970274,-31.13039,26.957859,-18.515284,9.67812,-3.5028808,0.6687091,ang
494,1.0,-3.8207555,8.415186,-13.772308,17.652998,-18.416828,15.757095,-10.897304,5.8961763,-2.327272,0.52079374,sad
521,1.0,-4.2637324,9.989029,-17.084326,22.845957,-24.617722,21.656998,-15.3323965,8.438033,-3.3298159,0.7120156,sad
522,1.0,-4.648487,11.472606,-20.199642,27.6074,-30.214205,26.780193,-18.99207,10.405739,-4.0276675,0.82245123,sad
523,1.0,-5.0484586,13.413089,-24.826607,35.036324,-39.110737,34.92957,-24.672215,13.281866,-4.9772315,0.9808297,sad
524,1.0,-4.6211658,11.478062,-20.351358,27.886337,-30.514526,26.98518,-19.0321,10.328365,-3.9618165,0.8094264,sad
525,1.0,-4.8881383,12.775553,-23.515066,33.125748,-37.025093,33.25241,-23.700338,12.933636,-4.9764314,1.0252038,sad
526,1.0,-4.752256,12.058325,-21.696697,29.975079,-32.89635,29.048439,-20.343857,10.914286,-4.119344,0.82014567,sad
527,1.0,-4.641233,11.324425,-19.486296,25.986496,-27.853786,24.19506,-16.795372,8.943649,-3.290915,0.623299,sad
528,1.0,-5.004293,13.256441,-24.525526,34.625996,-38.74141,34.771847,-24.739586,13.439777,-5.106446,1.0289259,sad
529,1.0,-3.9175892,7.7807045,-10.523731,10.043563,-5.9336643,0.52793694,3.1234198,-3.8613362,2.5002887,-0.7391987,sad
530,1.0,-6.253689,19.729801,-41.25476,63.540966,-75.60116,70.54312,-51.159798,27.806072,-10.311489,1.9700981,sad
532,1.0,646.9039,-3029.9253,7118.6875,-11288.813,13273.234,-11840.889,7899.659,-3654.8086,935.9136,-56.555668,sad
533,1.0,-6.6716366,22.95848,-51.532906,83.98421,-105.30704,103.59197,-79.39571,45.99742,-18.432041,3.8316245,sad
536,1.0,-929.94165,380.17065,7223.6987,-21512.99,34841.473,-38289.195,29557.084,-14953.451,3658.594,24.978357,sad
545,1.0,-5.433016,15.167374,-28.780136,41.066498,-45.991066,40.92178,-28.571217,14.993573,-5.34428,0.97805434,ang
546,1.0,-4.560996,11.100246,-19.062664,25.253132,-26.782124,22.971207,-15.670593,8.138719,-2.9449856,0.5739808,ang
549,1.0,-4.3194046,10.156514,-17.35294,23.128897,-24.815865,21.729107,-15.292263,8.369277,-3.3038619,0.70654696,sad
567,1.0,-4.6675525,15.734354,-37.781143,65.57871,-86.702126,90.63127,-75.65425,48.717144,-21.865156,5.135295,exc
581,1.0,-5.318351,14.496437,-27.021847,38.177116,-42.55986,37.840767,-26.531164,14.0753975,-5.0910516,0.9407064,exc
600,1.0,370.58127,-1769.0874,4241.228,-6791.7188,8029.348,-7228.567,4864.3804,-2265.9346,598.87213,-45.205147,exc
603,1.0,-4.6961837,11.722299,-20.753986,28.484383,-31.349306,27.955334,-19.965338,11.020891,-4.281385,0.8748529,exc
605,1.0,-3.6959953,6.9475946,-8.859167,7.725774,-3.6648674,-1.1687069,4.2171555,-4.44786,2.77175,-0.82538015,exc
616,1.0,-5.0257373,12.582585,-20.86028,25.44852,-23.65915,16.49974,-7.932707,1.9753232,0.16686708,-0.19187212,ang
618,1.0,-5.6104465,16.152746,-31.484112,45.91795,-52.345615,47.28806,-33.457207,17.794422,-6.4451423,1.2013454,ang
619,1.0,-4.466134,10.551866,-17.51071,22.558712,-23.45922,19.884727,-13.520812,7.0338264,-2.5209448,0.47191772,ang
620,1.0,-4.571498,11.051531,-18.752665,24.702682,-26.319159,22.927742,-16.07299,8.671928,-3.2695363,0.6574282,ang
625,1.0,163.65907,-787.1323,1899.1776,-3090.5276,3740.5867,-3467.5112,2438.645,-1226.785,376.68488,-46.012302,sad
626,1.0,-4.4459443,10.564484,-17.703835,23.046764,-24.205399,20.706297,-14.199425,7.4675565,-2.7232764,0.52317715,ang
632,1.0,21.5114,-130.12914,351.4198,-609.9195,768.2114,-731.36487,523.03564,-263.7819,79.36968,-9.26643,sad
644,1.0,621.6763,-12020.941,46908.94,-94676.9,124368.86,-114286.85,71884.76,-27453.072,4616.627,17.554043,sad
645,1.0,15.892725,-99.41496,270.47083,-470.88425,595.8748,-572.1165,414.3877,-212.93742,65.39529,-7.52607,sad
646,1.0,-5.1798506,14.019356,-26.151978,37.085697,-41.656487,37.478184,-26.727104,14.516623,-5.449204,1.0691228,sad
650,1.0,27.67631,-142.4931,349.2394,-577.4643,718.1705,-691.7261,515.0073,-283.54007,99.66962,-15.356055,sad
656,1.0,-4.12725,9.385131,-15.648119,20.556105,-21.870808,19.01017,-13.383041,7.362178,-2.9118407,0.63319117,sad
658,1.0,-4.558964,11.169607,-19.504019,26.461315,-28.869856,25.591436,-18.210136,10.031652,-3.9179735,0.822177,exc
659,1.0,-4.877372,12.522211,-22.328333,30.393803,-32.854813,28.468403,-19.49503,10.128994,-3.6493018,0.7017535,exc
695,1.0,-3.9011443,8.828958,-14.834576,19.424221,-20.622112,17.930304,-12.569639,6.8743925,-2.737187,0.6187609,sad
696,1.0,-5.240251,14.200212,-26.476755,37.403103,-41.54898,36.66253,-25.41359,13.3065815,-4.7617793,0.874317,sad
714,1.0,-4.911065,12.825315,-23.254776,32.17418,-35.347054,31.115507,-21.69988,11.492857,-4.2024736,0.82030356,exc
715,1.0,-4.6572733,11.54982,-20.176582,27.215399,-29.309895,25.400936,-17.549604,9.294673,-3.4285395,0.674529,exc
720,1.0,-5.0612154,13.415537,-24.552036,34.18668,-37.65316,33.115814,-23.001122,12.095902,-4.3567595,0.8198687,exc
732,1.0,-4.6431036,11.414996,-19.744099,26.376955,-28.223171,24.421604,-16.834587,8.877241,-3.2470293,0.6212993,exc
745,1.0,-4.611556,11.386337,-19.857924,26.696487,-28.60902,24.648613,-16.894028,8.856838,-3.2363536,0.6319605,exc
761,1.0,-5.2666025,14.237768,-26.53339,37.634537,-42.202843,37.85656,-26.857712,14.516428,-5.4212174,1.0426316,exc
764,1.0,-5.325165,14.46347,-26.635769,36.78894,-39.70009,33.793194,-22.304615,10.839411,-3.4617522,0.54692614,exc
792,1.0,-3.424896,7.162471,-11.595287,14.935581,-15.926647,14.172382,-10.396629,6.0799685,-2.698579,0.7171138,ang
793,1.0,-4.100061,9.1370325,-14.997635,19.57435,-20.672834,17.819145,-12.473089,6.882045,-2.7234902,0.5787227,ang
794,1.0,-4.984413,12.812174,-22.852272,31.216896,-33.801285,29.253765,-19.99715,10.323437,-3.5913506,0.623636,ang
795,1.0,-5.292941,14.369356,-26.683887,37.56671,-41.787277,37.140915,-26.05922,13.831017,-5.0008273,0.92338264,ang
796,1.0,-4.19723,9.649538,-16.150423,21.179281,-22.408432,19.344604,-13.474323,7.2888274,-2.8430908,0.62320125,ang
797,1.0,-3.5995383,7.9714227,-13.048238,16.740316,-17.596373,15.0920105,-10.515633,5.74728,-2.2567875,0.5238463,ang
800,1.0,-4.2583585,9.794664,-16.072857,20.708426,-21.703829,18.651112,-12.94582,6.975248,-2.6471596,0.5439526,ang
801,1.0,-4.1699185,9.517633,-15.652281,20.181904,-21.0688,17.963745,-12.327766,6.585951,-2.5360105,0.54625195,ang
802,1.0,-4.501266,10.750248,-18.034893,23.514214,-24.880558,21.561192,-15.012395,8.011603,-2.9580765,0.5718898,ang
803,1.0,-7.313161,32.340534,-88.103226,163.91818,-225.40622,237.24022,-191.22249,114.434105,-46.28227,9.549012,ang
804,1.0,-5.4560924,15.119264,-28.314863,39.753506,-43.701584,38.060486,-25.857864,13.056107,-4.390944,0.7380508,ang
805,1.0,283.05112,-1200.2887,2525.3982,-3529.8962,3513.7754,-2417.105,967.77673,33.542618,-296.97742,125.53656,ang
806,1.0,-4.0759144,9.403199,-15.793031,20.700575,-21.91733,18.86316,-13.035006,7.000412,-2.6696067,0.5567877,ang
807,1.0,-4.350761,10.315753,-17.508905,23.241516,-24.89096,21.70729,-15.218265,8.275719,-3.1620202,0.64708567,ang
808,1.0,-5.441139,15.183948,-28.752018,40.876442,-45.509743,40.16039,-27.728506,14.342381,-5.014514,0.8949557,ang
813,1.0,-4.831865,12.330235,-22.157742,30.602962,-33.6055,29.648907,-20.754482,11.122253,-4.1519227,0.8043878,ang
814,1.0,-4.6839557,11.699361,-20.707245,28.345406,-31.024273,27.441471,-19.389515,10.549271,-4.04045,0.82514465,ang
815,1.0,-4.121444,9.361248,-15.379455,19.9959,-21.25803,18.643414,-13.325686,7.493823,-3.0209079,0.67048025,ang
816,1.0,-3.998655,8.746011,-13.813051,17.32507,-17.845528,15.179792,-10.522154,5.729022,-2.2206001,0.47247916,ang
817,1.0,-4.7326,11.746782,-20.61785,28.142979,-30.795403,27.226353,-19.279114,10.552397,-4.0379143,0.8037293,ang
818,1.0,-4.350484,10.398374,-17.70027,23.265682,-24.433598,20.69746,-13.964813,7.229478,-2.6581743,0.5468071,ang
819,1.0,-4.006311,8.819299,-14.125316,18.030684,-18.921982,16.44248,-11.700063,6.584398,-2.6661677,0.59475994,ang
827,1.0,-5.5484734,15.425608,-28.740763,39.89998,-43.063934,36.483006,-23.834093,11.377003,-3.520688,0.52365446,ang
834,1.0,-5.404213,14.907859,-27.721079,38.703613,-42.676556,37.697914,-26.227146,13.643488,-4.768478,0.851974,ang
840,1.0,-5.618068,15.936272,-30.397488,43.449722,-48.804573,43.684074,-30.743996,16.234217,-5.7758236,1.0395858,ang
841,1.0,-4.5587096,10.992876,-18.733498,24.909985,-26.721092,23.251904,-16.26413,8.843044,-3.3844192,0.67915136,ang
842,1.0,-4.266075,9.828334,-16.17985,20.981749,-22.134499,19.058598,-13.283958,7.27336,-2.8518646,0.60736144,ang
843,1.0,-5.103209,13.589489,-24.984837,34.99662,-38.965,34.926987,-24.880203,13.498196,-5.0541124,0.9872612,ang
844,1.0,-5.3074937,14.478123,-26.950016,37.898144,-42.05687,37.296894,-26.056862,13.710747,-4.8984203,0.89366645,ang
845,1.0,-4.8287196,12.109489,-21.252155,28.831902,-31.287106,27.382698,-19.122843,10.247776,-3.796754,0.7230377,ang
846,1.0,-5.2927675,14.588269,-27.60675,39.459515,-44.346943,39.67611,-27.922188,14.851197,-5.427727,1.0337629,ang
847,1.0,108.75867,-478.63702,1028.786,-1469.1254,1529.145,-1160.6696,587.92285,-122.93347,-58.95761,36.393803,ang
849,1.0,-290.34918,1412.9803,-3372.1902,5260.9453,-5917.194,4910.439,-2920.8857,1142.8893,-250.92699,22.931149,ang
850,1.0,-5.0571446,13.324309,-24.23322,33.52741,-36.759506,32.307167,-22.456543,11.838596,-4.298194,0.8151252,ang
852,1.0,-4.6646647,11.668903,-20.759773,28.459772,-31.166767,27.617376,-19.504164,10.574162,-4.038586,0.8191062,ang
853,1.0,-4.8171124,12.206284,-21.6778,29.68889,-32.395424,28.367977,-19.764961,10.570327,-3.9248447,0.76089996,ang
854,1.0,-5.6067004,15.896063,-30.22768,42.705635,-46.79677,40.202133,-26.640762,12.967069,-4.141696,0.6460058,ang
855,1.0,-4.161785,9.432594,-15.449989,19.961271,-20.983486,18.039524,-12.564335,6.8750453,-2.7165267,0.5924454,ang
856,1.0,-4.99757,13.007203,-23.296202,31.722761,-34.321426,29.847677,-20.509817,10.632051,-3.7749424,0.70247465,ang
857,1.0,-3.9446557,8.518591,-13.444476,16.949373,-17.623222,15.201954,-10.766531,6.0850115,-2.5085273,0.5684105,ang
858,1.0,-4.844063,12.398804,-22.293734,30.767307,-33.782112,29.855991,-20.965132,11.2459345,-4.2012234,0.8249091,ang
859,1.0,-5.7051973,16.060741,-29.87165,41.147038,-44.134796,37.244663,-24.141245,11.303198,-3.3796105,0.47796872,ang
860,1.0,-3.9297137,8.519402,-13.524038,17.16077,-17.93233,15.518399,-11.029668,6.250806,-2.5672057,0.5787775,ang
861,1.0,-3.848393,8.352506,-13.161101,16.4197,-16.72536,14.035478,-9.552952,5.0570984,-1.8913236,0.4096746,ang
862,1.0,-5.5005546,15.544469,-29.729067,42.47306,-47.24732,41.401127,-28.217628,14.328788,-4.9025164,0.8582409,ang
868,1.0,-4.5957165,11.222925,-19.294456,25.645895,-27.292397,23.400158,-15.9566145,8.304688,-2.982541,0.56105256,ang
869,1.0,-5.070262,13.255157,-23.729347,32.186035,-34.448017,29.360176,-19.58495,9.718248,-3.199267,0.5209977,ang
872,1.0,-4.7593236,11.966433,-20.89484,27.95934,-29.852383,25.654934,-17.49532,9.064014,-3.2361383,0.6161994,ang
